Total-videos,File,Created,Modified,Total-views,Total-likes,Total-comments,Total-video-length,Average-video-length,Videos-with-geolocation,Videos-with-recordingDate,Videos-with-tags,Videos-with-localizations,Videos-with-content-rating,Videos-with-region-restriction,Videos-with-comments-disabled,Videos-with-likes-disabled,Videos-with-views-disabled,Videos-considered-livestreams,Videos-creativeCommon,Videos-with-madeForKidstrue,criado-em,tema,titulo,contexto,created,updated,location,tagscanal,temacanal,monetized,tipo,vinteresse
178,03. Acervos/Acervo Conservação-Restauração/; 2023-03-10 - 🗨️ CHCnaTV.md,2023-03-10T16:34:11.129-03:00,2023-03-13T08:06:12.898-03:00,5059732,42047,1892,"6 horas, 12 minutos, 32 segundos",PT2M5S,0,0,157,0,0,1,1,0,0,0,0,26,2023-02-27T00:00:00.000-03:00,Canais com conteudo de Conservação-Restauração,CHCnaTV,Pesquisa TCC pós,2023-03-10 16:35,2023-03-13 08:06,,"CHC,infantil,ciência,Ciência Hoje das Crianças,animais,bichos,criança,experimento,crianças,zoologia,biologia,ciência hoje das crianças,atividade,astronomia,experiência",Divulgação Cientifica,false,#canaldc,1
65,03. Acervos/Acervo Conservação-Restauração/; 2023-03-10 - 🗨️ Arte de fato.md,2023-03-10T21:17:10.400-03:00,2023-03-13T08:06:12.829-03:00,103325,31,1045,"12 horas, 35 minutos, 23 segundos",PT11M37S,0,0,64,0,0,0,0,64,0,7,0,0,2023-02-27T00:00:00.000-03:00,Canais com conteudo de Conservação-Restauração,Arte de fato,Pesquisa TCC pós,2023-03-10 21:18,2023-03-13 08:06,,"cristina sanches,restaurador,conservação,restauro e preservacao,shorts,biblioteconomia,restauro de livros,reserva tecnica,restauro,restaurar,biblioteca,restauro de livros antigos,atelie de restauro,ateliê de restauro,arquivologia",Conservação-Restauração,false,#canalconrest,12
2,03. Acervos/Acervo Conservação-Restauração/; 2023-03-08 - 🗨️ Diana CondeCR.md,2023-03-08T16:23:00.762-03:00,2023-03-13T08:05:05.251-03:00,26169,510,19,"9 minutos, 7 segundos",PT4M33S,0,0,2,0,0,0,0,0,0,0,0,0,2023-02-27T00:00:00.000-03:00,Canais com conteudo de Conservação-Restauração,Diana CondeCR,Pesquisa TCC pós,2023-03-08 16:24,2023-03-13 08:05,,"pintura,restauro,conservação e restauro de pintura,paintings restoration,varnish cleaning,Restauro de pintura,limpeza de verniz,cleaning a painting,old varnish cleaning",Conservação-Restauração,false,#canalconrest,2
56,03. Acervos/Acervo Conservação-Restauração/; 2023-03-08 - 🗨️ Fabiano Barros.md,2023-03-08T14:54:25.735-03:00,2023-03-13T08:05:09.055-03:00,66305,3480,460,"10 horas, 29 minutos, 20 segundos",PT11M14S,49,0,0,0,0,0,0,0,0,0,0,2,2023-02-27T00:00:00.000-03:00,Canais com conteudo de Conservação-Restauração,Fabiano Barros,Pesquisa TCC pós - Repinturas e aulas,2023-03-08 14:55,2023-03-13 08:05,,,Conservação-Restauração,false,#canalconrest,14
34,"03. Acervos/Acervo Conservação-Restauração/; 2023-03-08 - 🗨️ Ateliê, Arte e Restauração.md",2023-03-08T19:39:34.939-03:00,2023-03-13T08:05:27.551-03:00,51829,843,59,"1 hora, 50 minutos, 1 segundo",PT3M14S,2,2,22,0,0,0,0,1,0,0,0,2,2023-02-27T00:00:00.000-03:00,Canais com conteudo de Conservação-Restauração,"Ateliê, Arte e Restauração",Pesquisa TCC pós,2023-03-08 19:41,2023-03-13 08:05,"-23.5557714,-46.6395571","restauro,restauração,ateliê,arte,Restauração,Pintura,pintura,restaurador,obra de arte,artrestoration,Artconservation,Conservação e restauração,conservação e restauro,gel,ost",Conservação-Restauração,false,#canalconrest,11
60,03. Acervos/Acervo Conservação-Restauração/; 2023-03-07 - 🗨️ Titina Corso.md,2023-03-07T19:46:06.902-03:00,2023-03-13T08:05:20.468-03:00,49845,648,64,"5 horas, 51 minutos, 16 segundos",PT5M51S,1,1,45,0,0,8,1,0,0,6,0,4,2023-02-27T00:00:00.000-03:00,Canais com conteudo de Conservação-Restauração,Titina Corso,Pesquisa TCC pós,2023-03-07 19:47,2023-03-13 08:05,,"arte sacra,arte,Titina Corso,Titina,Conservação,conservação,educação,Arte Sacra,exposição,Atelier,imagem sacra,Corso,escultura,restauração,pintura",Conservação-Restauração,false,#canalconrest,8
152,03. Acervos/Acervo Conservação-Restauração/; 2023-03-08 - 🗨️ Deum Laudamus Arte Sacra e Restauração.md,2023-03-08T16:44:42.118-03:00,2023-03-13T11:49:21.943-03:00,1970238,39877,5754,"1 dia, 36 minutos, 42 segundos",PT9M42S,73,1,0,0,0,1,0,0,0,25,0,0,2023-02-27T00:00:00.000-03:00,Canais com conteudo de Conservação-Restauração,Deum Laudamus Arte Sacra e Restauração,Pesquisa TCC,2023-03-08 16:45,2023-03-13 10:44,,,Conservação-Restauração,false,#canalconrest,13
272,03. Acervos/Acervo Conservação-Restauração/; 2023-03-08 - 🗨️ Iolane Caron.md,2023-03-08T10:30:26.132-03:00,2023-03-13T08:05:05.889-03:00,3084130,208417,12486,"1 dia, 19 horas, 10 minutos, 7 segundos",PT9M31S,0,0,271,0,0,0,1,0,0,6,0,1,2023-02-27T00:00:00.000-03:00,Canais com conteudo de Conservação-Restauração,Iolane Caron,"Pesquisa TCC pós - Processos de artesanato, usa palavras como “recuperar” etc",2023-03-08 10:31,2023-03-13 08:05,,"artesanato,Iolane Caron,acrilex,faça você mesmo,artesanato é vida,passo a passo,pintura artesanal,decoração,fazer artesanato,mania de artesanato,mudar de vida,IFCARTYTB2018,ateliê,feito a mão,tinta",Artesanato,true,#canalartesanato,10
409,03. Acervos/Acervo Conservação-Restauração/; 2023-03-08 - 🗨️ Arte é Investimento.md,2023-03-08T21:26:31.617-03:00,2023-03-13T08:05:13.974-03:00,247688,13523,1488,"2 dias, 17 horas, 11 minutos, 34 segundos",PT9M33S,0,0,98,1,0,7,0,0,0,0,0,0,2023-02-27T00:00:00.000-03:00,Canais com conteudo de Conservação-Restauração,Arte é Investimento,"vários videos, maioria entrevista com profissionais, conversas. É um dos focos do canal. Feito para colecionadores ou pessoas do meio das artes, não exatamente para leigos, videos longos. Passa por formação das pessoas, discussões interessantes. Não mostra processos.",2023-03-08 21:32,2023-03-13 08:05,,"EAV Parque Lage,Arte Popular Brasileira,Escola de Artes Visuais Parque Lage,Museu Nacional de Belas Artes,20ª Bienal de São Paulo,MNBA,Centro Empresarial Rio,Marc Berkowitz,Candido Portinari,Galeria de Arte IBEU,Galeria Espátula,Frans Krajcberg,Alexander Calder,Centro Cultural Cândido Mendes,Universidade Cândido Mendes",Arte,false,#canalarte,11
650,03. Acervos/Acervo Conservação-Restauração/; 2023-03-02 - 🗨️ vivieuvi.md,2023-03-02T20:11:58.531-03:00,2023-03-13T08:05:05.039-03:00,13315705,1504555,57976,"3 dias, 19 horas, 44 minutos, 38 segundos",PT8M28S,0,0,577,8,11,1,0,0,0,13,0,0,2023-02-27T00:00:00.000-03:00,Canais com conteudo de Conservação-Restauração,vivieuvi,Pesquisa TCC pós,2023-03-01 21:00,2023-03-13 08:05,,"vivieuvi,Canal,de,Arte,arte contemporânea,notícias,vivinews,feminismo,arte brasileira,van gogh leonardo da vinci,fotografia,performance,masp,salvador dali",Arte,true,#canalarte,4
