Total-videos,File,Created,Modified,Total-views,Total-likes,Total-comments,Total-video-length,Average-video-length,Videos-with-geolocation,Videos-with-recordingDate,Videos-with-tags,Videos-with-localizations,Videos-with-content-rating,Videos-with-region-restriction,Videos-with-comments-disabled,Videos-with-likes-disabled,Videos-with-views-disabled,Videos-considered-livestreams,Videos-creativeCommon,Videos-with-madeForKidstrue,criado-em,tema,titulo,contexto,created,updated,location,tagscanal,temacanal,monetized,tipo,vinteresse
12226,03. Acervos/Acervo Conservação-Restauração/; 2023-03-06 - 🗨️ UNIVESP.md,2023-03-06T16:34:50.635-03:00,2023-03-13T08:07:23.698-03:00,186262251,3535223,39973,"7 meses, 1 semana, 6 dias, 19 horas, 41 minutos, 1 segundo",PT26M49S,0,1,10843,2,0,14,6,0,0,310,0,10,2023-02-27T00:00:00.000-03:00,Canais com conteudo de Conservação-Restauração,UNIVESP,Pesquisa TCC pós,2023-03-06 16:37,2023-03-13 08:07,,"Univesp,Univesp TV,educação,graduação,univesp,USP,Cursos EAD,Matemática,engenharia,unicamp,Cultura,TV,AVA,licenciatura,on-line",Institucional,true,#canalinstitucional/publico,1
2087,03. Acervos/Acervo Conservação-Restauração/; 2023-03-07 - 🗨️ ministeriopublicosc.md,2023-03-07T20:55:58.396-03:00,2023-03-13T08:06:06.349-03:00,2441971,44386,2034,"2 semanas, 4 dias, 9 horas, 7 minutos, 37 segundos",PT12M40S,12,12,1850,4,1,0,163,1,0,251,0,10,2023-02-27T00:00:00.000-03:00,Canais com conteudo de Conservação-Restauração,ministeriopublicosc,Pesquisa TCC pós,2023-03-07 20:56,2023-03-13 08:06,"-27.5948036,-48.5569286","Ministério,Público,Santa,Catarina,Promotor,de,Justiça,MPSC,promotor de justiça,mpsc,Ministério Público,Promotor de Justiça,coronavírus,santa catarina,Santa Catarina",Institucional,false,#canalinstitucional/publico,2
367,03. Acervos/Acervo Conservação-Restauração/; 2023-03-08 - 🗨️ Fruto de Arte.md,2023-03-08T14:18:48.624-03:00,2023-03-13T08:07:08.364-03:00,5951034,114768,6456,"1 dia, 1 hora, 19 minutos, 59 segundos",PT4M8S,142,100,325,218,0,1,1,0,0,1,0,0,2023-02-27T00:00:00.000-03:00,Canais com conteudo de Conservação-Restauração,Fruto de Arte,Pesquisa TCC pós,2023-03-08 14:21,2023-03-13 08:07,"-23.544004,-46.6481721","fruto de arte,aquarela,caligrafia,material artístico,material de desenho,caneta tinteiro,material,para desenho,presente de natal,lettering,desenho,natal,material para aquarela,pintura em tela,watercolor,presente",Institucional,true,#canalinstitucional/privado,3
196,03. Acervos/Acervo Conservação-Restauração/; 2023-03-07 - 🗨️ Stellantis South America.md,2023-03-07T20:34:57.230-03:00,2023-03-13T08:08:03.252-03:00,206423,6070,503,"5 horas, 15 minutos, 1 segundo",PT1M36S,0,0,144,0,0,1,1,0,0,1,0,0,2023-02-27T00:00:00.000-03:00,Canais com conteudo de Conservação-Restauração,Stellantis South America,Pesquisa TCC pós,2023-03-07 20:39,2023-03-13 08:08,,"Stellantis,Somos Stellantis,Fiat,Jeep,Peugeot,carros,stellantis,Ram,Lançamento,Caminhos que Inspiram,Argentina,Caminos que Inspiran,Citroën,Poder Inigualável,Isso É Jeep",Institucional,false,#canalinstitucional/privado,2
2348,03. Acervos/Acervo Conservação-Restauração/; 2023-03-02 - 🗨️ Unisul Universidade.md,2023-03-02T21:25:04.069-03:00,2023-03-13T08:07:04.164-03:00,3578181,20552,1113,"2 semanas, 4 dias, 10 horas, 5 minutos, 56 segundos",PT11M17S,57,127,1809,1,0,4,17,1,0,277,0,86,2023-02-27T00:00:00.000-03:00,Canais com conteudo de Conservação-Restauração,Unisul Universidade,Pesquisa TCC pós,2023-03-02 21:25,2023-03-13 08:07,,"Tubarão,Unisul TV,Educação,Unisul,Thiago Pereira,Comunidade,Eduardo Ventura,UnisulTV,Unisul Comunidade,Geral,Cultura,Edivelton da Rosa,Manuella Veiga,Maria Julia Goulart,Profissões",Institucional,false,#canalinstitucional/privado,6
2800,03. Acervos/Acervo Conservação-Restauração/; 2023-03-06 - 🗨️ TVUNIMEP.md,2023-03-06T15:32:54.836-03:00,2023-03-13T08:08:03.368-03:00,805883,13655,713,"2 semanas, 6 dias, 10 horas, 42 minutos, 57 segundos",PT10M30S,1,66,2076,0,2,49,3,0,0,16,0,17,2023-02-27T00:00:00.000-03:00,Canais com conteudo de Conservação-Restauração,TVUNIMEP,Pesquisa TCC pós,2023-03-06 15:34,2023-03-13 08:08,"-22.7481483,-47.4119726","tv unimep,unimep,piracicaba,UNIMEP,caroll beraldo,Unimep,cultura,universidade,metodista,futebol,acontece unimep,nilson da silva jr,lider esportes,religião,reverendo",Institucional,false,#canalinstitucional/privado,1
35,03. Acervos/Acervo Conservação-Restauração/; 2023-03-07 - 🗨️ Tudor Brasil.md,2023-03-07T19:36:15.610-03:00,2023-03-13T08:06:01.078-03:00,209495,13778,789,"6 horas, 32 minutos, 8 segundos",PT11M12S,0,0,30,1,0,0,0,0,0,8,0,0,2023-02-27T00:00:00.000-03:00,Canais com conteudo de Conservação-Restauração,Tudor Brasil,Pesquisa TCC pós,2023-03-07 19:39,2023-03-13 08:06,,"história,Bridgerton,Netflix,curiosidades,rainhas,Imperatriz Sissi,Elizabeth II,Ana Bolena,Mary Stuart,Elizabeth I,Catarina de Medici,Reign,The Crown,higiene,higiene na história",História,false,#canalhistória,1
283,03. Acervos/Acervo Conservação-Restauração/; 2023-02-28   - 🗨️ EduardoProfHistória.md,2023-03-06T14:59:52.306-03:00,2023-03-13T08:06:26.014-03:00,6891054,79.108,3.188,"19 horas, 6 minutos, 18 segundos",PT4M3S,25,36,195,218,1,1,0,0,0,1,8,2,2023-02-27T00:00:00.000-03:00,Canais com conteudo de Conservação-Restauração,EduardoProfHistória,levantamentotcc,2023-02-27 14:29,2023-03-13 08:06,"-22.8631923,-43.7779091","História,Educação,EduardoProfHistória,Motivação,Vida,Ciências Sociais,Ciências Humanas,Cultura,Itaguaí,Cultural,Culturabetizar,Arte,Eduardo Cultura Itaguaí (Administrative Division),Poesia",História,,#canalhistória,1
3,03. Acervos/Acervo Conservação-Restauração/; 2023-03-10 - 🗨️ Arte da Restauração.md,2023-03-10T16:13:04.160-03:00,2023-03-13T08:06:25.779-03:00,23,2,1,"34 minutos, 30 segundos",PT11M30S,0,0,3,0,0,0,0,0,0,0,0,2,2023-02-27T00:00:00.000-03:00,Canais com conteudo de Conservação-Restauração,Arte da Restauração,"Pesquisa TCC pós - canal novo, repostagem de videos gringos sem falas, apenas processos",2023-03-10 16:14,2023-03-13 08:06,,"Restauração,GUCCI,ASMR,Relaxar,Som para dormir,Faça você mesmo,restauração,Dy,Motos,mecânica",Entretenimento,false,#canalentretenimento,2
7,03. Acervos/Acervo Conservação-Restauração/; 2023-03-07 - 🗨️ Olha aí Br.md,2023-03-07T19:08:19.535-03:00,2023-03-13T08:06:00.939-03:00,8890,501,8,"41 minutos, 36 segundos",PT5M56S,5,0,7,0,0,0,0,0,0,0,0,0,2023-02-27T00:00:00.000-03:00,Canais com conteudo de Conservação-Restauração,Olha aí Br,Pesquisa TCC pós,2023-03-07 19:09,2023-03-13 08:06,"-14.235004,-51.92528","Marvel,MCU,capitão América,homem de ferro,homem Aranha,gavião arqueiro,viúva negra,Thor,Hulk,capitã Marvel,guardiões da galáxia,avengers,PS4,Playstation,jogos",Entretenimento,false,#canalentretenimento,1
